"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
17,"high",4,1.839,1,2,2,"old","Icy1.jpeg","Qu1_oldleftt.png","3",0,0,0,1.839
17,"medium",4,0.9100001,3,1,3,"old","Icy2.jpeg","Qu1_oldleftt.png","2",0,0,0,0.9100001
17,"high",4,5.63,4,2,1,"old","Beach2.jpeg","Qu1_oldleftt.png","1",0,1,1,5.63
17,"new",4,1.38,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.38
17,"high",4,1.032,2,2,3,"old","Desert4.jpeg","Qu1_oldleftt.png","2",0,0,0,1.032
17,"medium",4,1.242,3,1,2,"old","Desert3.jpeg","Qu1_oldleftt.png","1",0,0,0,1.242
17,"new",1,1.78,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,1.78
17,"medium",4,2.416,3,2,2,"old","Beach1.jpeg","Qu1_oldleftt.png","1",0,0,0,2.416
17,"new",4,0.868,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,0.868
17,"high",4,1.05,4,2,1,"old","Icy3.jpeg","Qu1_oldleftt.png","4",0,0,0,1.05
17,"low",4,3.686,3,2,1,"old","Savanna1.jpeg","Qu1_oldleftt.png","2",0,0,0,3.686
17,"new",4,1.13,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.13
17,"low",4,0.7690001,2,2,4,"old","Beach4.jpeg","Qu1_oldleftt.png","4",0,0,1,0.7690001
17,"new",4,0.8980002,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,0.8980002
17,"high",4,1.213,3,2,1,"old","Icy3.jpeg","Qu1_oldleftt.png","4",0,0,0,1.213
17,"high",4,0.7950001,3,3,1,"old","Desert2.jpeg","Qu1_oldleftt.png","1",0,0,1,0.7950001
17,"low",4,1.057,1,2,3,"old","Desert4.jpeg","Qu1_oldleftt.png","2",0,0,0,1.057
17,"low",4,0.7980003,3,1,3,"old","Beach1.jpeg","Qu1_oldleftt.png","2",0,1,0,0.7980003
17,"low",4,3.34,3,1,2,"old","Icy3.jpeg","Qu1_oldleftt.png","3",0,0,0,3.34
17,"low",4,2.26,2,1,3,"old","Savanna1.jpeg","Qu1_oldleftt.png","1",0,1,0,2.26
17,"low",4,2.305,3,1,3,"old","Desert2.jpeg","Qu1_oldleftt.png","4",0,0,0,2.305
17,"new",4,0.7770002,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,0.7770002
17,"medium",4,0.8240001,4,4,1,"old","Desert1.jpeg","Qu1_oldleftt.png","1",0,0,1,0.8240001
17,"medium",4,3.278,2,2,1,"old","Desert1.jpeg","Qu1_oldleftt.png","1",0,0,1,3.278
17,"new",4,0.6750002,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,0.6750002
17,"high",4,1.153,2,3,1,"old","Icy3.jpeg","Qu1_oldleftt.png","3",0,1,0,1.153
17,"new",4,1.142,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.142
17,"new",4,0.7400002,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,0.7400002
18,"new",4,6.872,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,6.872
18,"low",1,3.111,2,4,1,"old","Savanna3.jpeg","Qu1_oldright.png","2",0,0,0,3.111
