"participant","pictures","pe","corrAns","corrAnsRT","conf","confRT","soundcorrAns","on","soundcorrAnsRT","category","trial","block","rt_out"
3254,"house_31.png","lowPE",1,0.375275,1,0.536085,0,"old",0.30303,"house",54,1,0.375275
3254,"fruit_28.png","medPE",1,1.994145,2,0.521725,0,"old",1.74929,"fruit",55,1,1.994145
3254,"fruit_34.png","lowPE",0,2.61221,4,0.63862,1,"old",1.15904,"fruit",56,1,2.61221
3254,"animal_76.png","new",1,0.79085,1,0.35755,0,"new",NA,"animal",57,1,0.79085
3254,"animal_79.png","new",1,2.28336,1,0.37263,0,"new",NA,"animal",58,1,2.28336
3254,"animal_29.png","lowPE",1,0.667675,1,0.19747,0,"old",3.23051,"animal",59,1,0.667675
3254,"house_33.png","lowPE",1,1.81043,1,0.35105,1,"old",0.239295,"house",60,1,1.81043
3254,"house_15.png","medPE",1,1.51264,1,0.275165,0,"old",7.639025,"house",61,2,1.51264
3254,"fruit_74.png","new",1,3.208465,2,1.553125,0,"new",NA,"fruit",62,2,3.208465
3254,"toy_72.png","new",1,0.75637,1,1.404265,0,"new",NA,"toy",63,2,0.75637
3254,"toy_24.png","highPE",1,3.057695,4,1.13411,0,"old",7.169155,"toy",64,2,3.057695
3254,"toy_15.png","lowPE",1,1.91086,1,0.37451,1,"old",0.33818,"toy",65,2,1.91086
3254,"animal_19.png","lowPE",1,0.95958,2,1.09957,1,"old",4.320275,"animal",66,2,0.95958
3254,"fruit_71.png","new",0,1.02593,2,0.691745,0,"new",NA,"fruit",67,2,1.02593
3254,"fruit_21.png","lowPE",0,0.37847,1,0.67124,1,"old",3.92189,"fruit",68,2,0.37847
3254,"animal_70.png","new",0,2.06564,4,0.552755,0,"new",NA,"animal",69,2,2.06564
3254,"toy_70.png","new",1,1.92312,4,0.350545,0,"new",NA,"toy",70,2,1.92312
3254,"house_73.png","new",1,0.60741,1,0.48876,0,"new",NA,"house",71,2,0.60741
3254,"fruit_72.png","new",1,0.401255,1,0.168965,0,"new",NA,"fruit",72,2,0.401255
